в то время;а вахтунда
добрая весть;хъсан хабар
свежая новость;цийи хабар
какие новости?;вуч хабарар ава?
мне известно о твоих делах;ви квалахрикай заз хабар я
я в курсе твоих дел;ви квалахрикай заз хабар я
новость за новостью;хабар хабардин кулаваз
появился неожиданно;хабарни авачиз атана акъатна
без вести пропал;са хабарни амачиз квахьна
о нём ходят разные слухи;адакай гьар жуьре хабарар ван къвезва
пустил слух по селу;хуьруьз хабар чукурна
проявлять бездушие;масадакай хабар такьун
лекарство на меня не подействовало;дарманди заз хабар ганач
без спроса ушёл с работы;хабар такьуна квалахдилай хъфена
в конце спрос будет с меня;эхирдай хабар завай кьадайди я
весть;хабар
известие;хабар
сообщение;хабар
молва;хабар
слухи;хабар
толки;хабар
ван-сес;хабар
сопереживание;хабар
сочувствие;хабар
реакция (организма на то или иное внешнее или внутреннее раздражение);хабар
таъсир;хабар
спрос;хабар
предостерегать, предупреждать (кого-л. о надвигающейся опасности);хабардар авун
извещать (кого-л. о чём-л.), сообщать, информировать (кого-л. о чём-л.), уведомлять (кого-л. о чём-л.);хабардар авун
быть осведомлённым, обладать сведениями (о чем-л.);хабардар хьун
вестник;хабардар
глашатай;хабардар
илчи;хабардар
муштулухчи;хабардар
чавдар;хабардар
чамар;хабардар
чапар;хабардар
чархачи;хабардар
знающий;хабардар
сведущий;хабардар
осведомлённый;хабардар
осведомлённость;хабардарвал
малумвал;хабардарвал
раижвал;хабардарвал
положение;хабардарвал
миссия вестника;хабардарвал
гонца;хабардарвал
чавдарвал;хабардарвал
чамарчивал;хабардарвал
чапарвал;хабардарвал
чархачивал;хабардарвал
будучи осведомлённым;хабардардаказ
обладая сведениями;хабардардаказ
пропал без вести;хабарсуз квахьна
несведущий;хабарсуз
неосведомлённый;хабарсуз
без вести;хабарсуз
без предупреждения;хабарсуз
без уведомления;хабарсуз
внезапно;хабарсуз
неожиданно;хабарсуз
внезапность;хабарсузвал
неожиданность;хабарсузвал
бейхабарвал;хабарсузвал
без предупреждения;хабарсузвилелди
без уведомления;хабарсузвилелди
внезапно;хабарсузвилелди
неожиданно;хабарсузвилелди
бейхабарвилелди;хабарсузвилелди
годекан;хабархана
любитель привирать;хабарчи
щипцы для колки сахара;шекер хадай хех
хрупкое стекло;хадай гуьзгуь
хрупкий металл;хадай ракь
ломкий лёд;хадай мурк
стельной корове нужен особый уход;хадай калихъ кьетен гелкъвена канда
разборное ружье;хадай тфенг
хрупкий;хадай
ломкий;хадай
стельная (о корове);хадай
жерёбая (о лошади);хадай
суягная (об овце);хадай
супоросая (о свинье);хадай
на сносях (о женщине, которая должна скоро родить);хадай
разборный;хадай
тяжело переживать;хажалат <чугун> авун
горевать;хажалат <чугун> авун
скорбеть (о чём-л.);хажалат <чугун> авун
печалить;хажалат гун
огорчать;хажалат гун
расстраивать;хажалат гун
печалиться;хажалат хьун
горевать;хажалат хьун
скорбеть;хажалат хьун
горевать;хажалатдик акатун
печалиться;хажалатдик акатун
скорбеть;хажалатдик акатун
скорбный;хажалатдин
печальный;хажалатдин
грустный;хажалатдин
горе;хажалат
скорбь;хажалат
печаль;хажалат
грусть;хажалат
печалиться;хажалатлу хьун
горевать;хажалатлу хьун
печальный;хажалатлу
грустный;хажалатлу
прискорбный;хажалатлу
состояние печали;хажалатлувал
грусти;хажалатлувал
скорби;хажалатлувал
печально;хажалатлувилелди
грустно;хажалатлувилелди
прискорбно;хажалатлувилелди
получать путём принуждения (что-л.);хаз тун
меховой;хаздин
белка;хаз
мех;хаз
хазарец;хазар
хазарский;хазар
он ведёт себя как еврей;ам хазина жагъай чувуд хьиз ава
нашедший клад (светясь от радости);ам хазина жагъай чувуд хьиз ава
казна;хазина
сокровищница;хазина
клад;хазина
обладатель сокровищ;хазинадар
казначей;хазиначи
работать в должности казначея;хазиначивал авун
должность казначея;хазиначивал
предатель;хаин
изменник;хаин
бейвафа;хаин
вафасуз;хаин
намерд;хаин
хаинкар;хаин
хиянаткар;хаин
предательский;хаин
вероломный;хаин
бейвафа;хаин
вафасуз;хаин
намерд;хаин
хаинкар;хаин
хиянаткар;хаин
предавать;хаинвал авун
изменять;хаинвал авун
предательство;хаинвал
измена;хаинвал
вероломство;хаинвал
бейвафавал;хаинвал
вафасузвал;хаинвал
намердвал;хаинвал
хаинкарвал;хаинвал
хиянаткарвал;хаинвал
предательски;хаинвилелди
вероломно;хаинвилелди
бейвафадаказ;хаинвилелди
вафасузвилелди;хаинвилелди
намердвилелди;хаинвилелди
хаинкарвилелди;хаинвилелди
хиянаткарвилелди;хаинвилелди
не водись с вероломным человеком;хаинкар инсандив тай жемир
предатель;хаинкар
изменник;хаинкар
веролом;хаинкар
бейвафа;хаинкар
вафасуз;хаинкар
намерд;хаинкар
хаин;хаинкар
хиянаткар;хаинкар
предательский;хаинкар
вероломный;хаинкар
бейвафа;хаинкар
вафасуз;хаинкар
намерд;хаинкар
хаин;хаинкар
хиянаткар;хаинкар
предательство;хаинкарвал
измена;хаинкарвал
вероломство;хаинкарвал
бейвафавал;хаинкарвал
вафасузвал;хаинкарвал
намердвал;хаинкарвал
хаинвал;хаинкарвал
хиянаткарвал;хаинкарвал
предательски;хаинкарвилелди
вероломно;хаинкарвилелди
бейвафадаказ;хаинкарвилелди
вафасузвилелди;хаинкарвилелди
намердвилелди;хаинкарвилелди
хаинвилелди;хаинкарвилелди
хиянаткарвилелди;хаинкарвилелди
над пропастью высится одинокий дуб;хайдин кьилел тек мегъуьн тар хкаж хьанва
обрыв;хай
пропасть;хай
худое слово;хайи гаф
родной язык;хайи чал
день рождения;хайи югъ
родная мать;хайи диде
родной отец;хайи буба
родная страна;хайи ватан
родной народ;хайи халкь
родное село;хайи хуьр
худое слово;хайи гаф
родной (находящийся в кровном родстве);хайи
родной (по рождению, по духу, по привычкам);хайи
плохой;хайи
дурной;хайи
скверный;хайи
свидетельство о рождении;хайивилин гьакъиндай шагъадатнама
родной человек превратился во врага;хайидакай душман хкатна
мать;хайиди
де;хайиди
диде;хайиди
йаъ;хайиди
хая;хайиди
родной человек;хайиди
в селе есть родившиеся, умершие?;хуьре хайи-кьейи авани?
особо важные события (рождение, смерть);хайи-кьейи
род ковра без ворса;хайма
своевольничать;хак акъатун
своенравничать;хак акъатун
сумасброд;хак акъатай лам
самодур;хак акъатай лам
вбивать кол в землю;чилиз хак ягъун
вытянуться в струнку (<букв> стать как кол);хак хьиз акъвазун
кол;хак
колышек;хак
деревянный засов (в дверях);хак
хакер (взломщик компьютерных программ);хакер
хаки (материал серовато-зелёного цвета с коричневым оттенком);хаки
хан ханов;хакъан
великий хан;хакъан
пруд;къацу хал янавай вир
заросший зелёной ряской;къацу хал янавай вир
покрываться лишаем;хал ягъун
покрываться плесенью;хал ягъун
плесневеть;хал ягъун
родимое пятно;хал
родинка;хал
лишай (на камне, на коре деревьев);хал
лишайник (на камне, на коре деревьев);хал
ряска;хал
плесень;хал
и тётю навещу;халадални са кьил чугвада
и тётю навещу;тайни вердишарда
и жеребёнка объезжу;халадални са кьил чугвада
и жеребёнка объезжу;тайни вердишарда
см.тж. девах, дидевах;халадални са кьил чугвада
см.тж. девах, дидевах;тайни вердишарда
двоюродная сестра (со стороны матери);халадин руш
двоюродный брат (со стороны матери);халадин хва
тётин;халадин
тётя (сестра матери);хала
тётя (вежливое обращение молодых к пожилой женщине);хала
девушка;хала
молодая женщина;хала
кумовство;хала-хатур
сынок, где здесь рыбу продают?;халадин, ина балугъар гьинал гузва?
сынок (старшей по возрасту женщины к молодым);халадин
сыночек (старшей по возрасту женщины к молодым);халадин
дочка (старшей по возрасту женщины к молодым);халадин
доченька (старшей по возрасту женщины к молодым);халадин
тётин;халадин
двоюродная сестра (со стороны матери);халадруш
двоюродный брат (со стороны матери);халадхва
халат;халат
мак-самосейка;халацуьк
бубу;халацуьк
бабник;халаш
волокита;халаш
арвадбаз;халаш
ашнабаз;халаш
милича;халаш
поведение бабника;халашвал
волокиты;халашвал
арвадбазвал;халашвал
миличавал;халашвал
ашнабазвал;халашвал
каперс;пехърен хали
арбуз (<букв> зимний арбуз);хъуьтуьн хали
бахча;халидин сал
дыня (<букв> летний арбуз);гатун хали
арбуз;хали
дыня;хали
создатель;халикь
творец;халикь
бог;халикь
халик;халикь
настоящий друг;халис дуст
это чистокровная лошадь;ам халис жинсинин балкан я
рубашка из натурального шёлка;халис ипекдин перем
настоящий;халис
подлинный;халис
по-настоящему;халисандаказ
подлинность;халисвал
истинность;халисвал
халисандаказ;халисвилелди
халисандаказ;халисдаказ
халисандаказ;халисдиз
халиф;халифа
наместник;халифа
правитель;халифа
халифа;халифа
халифат (мусульманская теократия с халифом во главе);халифат
коврик;халича
гибе;халича
творить;халкь авун
создавать;халкь авун
бог;халкь авур первердигар (халикь)
создаваться;халкь хьун
возникать;халкь хьун
народ;халкь
жемят;халкь
махлукьат;халкь
эл;халкь
бог;халкьайди
создатель;халкьайди
халикь;халкьайди
кто противопоставит себя народу;халкьдин хура акъваздайди ахмакьрин ахмакь я
тот дурак из дураков;халкьдин хура акъваздайди ахмакьрин ахмакь я
народный артист;халкьдин артист
народные песни;халкьдин манияр
народный дружинник;халкьдин дружинник
фольклор;халкьдин мецин <сивин> яратмишунар
устное народное творчество;халкьдин мецин <сивин> яратмишунар
народный суд;халкьдин суд
народный театр;халкьдин театр
народный поэт;халкьдин шаир
народный;халкьдин
общественный;халкьдин
народность поэзии эмина;эминан шииратдин халкьлувал
народность;халкьлувал
народолюбие;халкьпересвал
двоюродная сестра;халудин руш
жена дяди (брата матери);халудин свас
двоюродный брат;халудин хва
дядя (брат матери);халу
дядя (как обращение к взрослому мужчине);халу
сынок (слово - обращение взрослых мужчин к детям);халудин
сыночек (слово - обращение взрослых мужчин к детям);халудин
дядин;халудин
двоюродная сестра;халудруш
жена дяди (брата матери);халудсвас
двоюродный брат;халудхва
барыня;халум
госпожа;халум
белоручка;халум
чистоплюйка;халум
халум;халум
родственники (по материнской линии);халу-хтул
родство по материнской линии;халу-хтулвал
как свойственно родственникам по материнской линии;халу-хтулвилелди
клонить ко сну;халуяр атун
родственники (со стороны матери);халуяр
волк в овечьей шкуре;хипен хам алай жанавур
барабанщик в козле видит только шкуру;далдамчидиз цегьpекай анжах са хам аквада
сдирать кожу;хам алажун
шкуру;хам алажун
спускать шкуру;хам алажун
наказывать;хам алажун
лишать жизни;хам тарциз акъудун
умерщвлять;хам тарциз акъудун
убивать;хам тарциз акъудун
шкурничать;хам хуьн
беречь свою шкуру;хам хуьн
негодовать;хамарай акъатун
злиться;хамарай акъатун
полнеть;хамарай акъатун
тучнеть;хамарай акъатун
становиться костлявым;хамни карабар хьун
тощать;хамни карабар хьун
лишать жизни;хамуна нагъвар тун
убивать;хамуна нагъвар тун
облачить больного в свежесодранную шкуру овцы (как способ лечения от простуды);хамуна тун
важничать;хамуна ялар тун
зазнаваться;хамуна ялар тун
злиться;хамуна ялар тун
сердиться;хамуна ялар тун
подвергать телесному наказанию (розгами, кнутом);хамуниз кьел ягъун
кожные болезни;хамунин азарар
изнеженный человек;хам кьелечди
неженка;хам кьелечди
толстокожий;хам яцуди
неотзывчивый человек;хам яцуди
свиная кожа;вакан хам
медвежья шкура;севрен хам
шкура волка;жанавурдин хам
хазран хам мех белки;жанавурдин хам
хундуздин хам мех соболя;жанавурдин хам
дубить кожу;хам тушунун
негашёная известь;хам киреж
дичать;хам хьун
становиться застенчивым;хам хьун
нелюдимым;хам хьун
не паханная земля;хам чил
новь;хам чил
целина;хам чил
девственные леса;хам тамар
необъезженная лошадь;хам балкан
чуждый человек (в какой-л. среде);хам инсан
кожа;хам
шкура;хам
необработанный;хам
невыделанный;хам
невозделанный;хам
необученный;хам
неопытный;хам
неискушённый;хам
необработанность;хамвал
невыделанность;хамвал
невозделанность;хамвал
необученность;хамвал
неопытность;хамвал
неискушённость;хамвал
строптивость;хамвал
отчуждённо;хамвилелди
нелюдимо;хамвилелди
по незнанию;хамвиляй
по неведению;хамвиляй
по неопытности;хамвиляй
тот;хамди
кто неопытен;хамди
неискушён;хамди
новичок;хамди
малиновый;хамзардин
малина;хамзар
малина;хамзарар
переработать сырье;хаммал гьялун
перерабатывающий;хаммал гьялдай
сырье;хаммал
возлюбленная;хаму жейран
пресный хлеб;хаму фу
дичиться;хаму хьун
сторониться (людей);хаму хьун
хомут;хамут
гарданбаз;хамут
быть <становиться> ханом;хан хьун
управлять, распоряжаться (кем-л.);хан хьун
важничать;хан рахай яркиви хьиз хьун
зазнаваться;хан рахай яркиви хьиз хьун
ханский шашлык (из кусков печени, обёрнутых нутряным жиром);хандин шиш
ханский;хандин
ханский титул;хандин рутба
ханские замашки;хандин амалар
хан;хан
правитель;хан
властелин;хан
хан;хан
критиковать;хана рахун
осуждать;хана рахун
аристократ;ханадан
вельможа;ханадан
аристократия;ханаданар
родовитая знать;ханаданар
аристократические семьи;ханаданлу хизанар
родовитый;ханаданлу
благородного происхождения;ханаданлу
асуллу;ханаданлу
менсеблу;ханаданлу
родовитость;ханаданлувал
знатность;ханаданлувал
асуллувал;ханаданлувал
менсеблувал;ханаданлувал
сорт груши;ханармуд
белена;ханбигид хъач
х - прописное женское имя - ханбиги;ханбиги
ханствовать;ханвал авун
господствовать;ханвал авун
титул;ханвал
положение хана;ханвал
вид узелка (полубантиком);хангаг
рыть ров;хандак ягъун
траншею;хандак ягъун
канаву;хандак ягъун
ров;хандак
траншея;хандак
канава;хандак
заложить фундамент;хандакар <ягъун> атун
основание (дома);хандакар <ягъун> атун
фундамент дома;хандакар
вешалка (большая пришивная петля, за которую вешают платье);ханжак
сын хана;ханзада
икать;ханкар атун
наступать (об икоте);ханкар атун
икота;ханк
ханство (административная единица);ханлух
короста, затвердевший слой грязи (на чём-л.);ханц
копчик;ханча
хвостец;ханча
хлам;хапур-шапур
рухлядь;хапур-шапур
варить суп;хапа авун
рисовый суп;дуьгуьдин хапа
крупяной суп;чахарин хапа
варево;хапа
суп;хапа
приготовить жидкие блюда;хапа-шурпа авун
жидкие блюда;хапа-шурпа
съевший бобы в грудь бьет;хар туьрда хур гатада
бобовый;харун
фасолевый;харун
гороховый;харун
сеять бобы;харар цун
чёрные бобы;чулав харар
гороховый суп;харарин хапа
позорить;кьилел хар къурун
срамить;кьилел хар къурун
гусиная кожа;хар акъатай хам
трясогузка;харун нуьк
побить градом;хару ягъун
градобитие;хару ягъун
градовые тучи;хар квай цифер
наверняка пойдёт град;шаксуз хар къвада
боб;хар
фасоль;хар
горошина;хар
град;хар
одежда;хар
поленница;карасрин хара
собирать в кучу;харада тун
парчовый;харадин
муаровый;харадин
куча;хара
ворох;хара
груда;хара
парча (шёлковая ткань с переплетающимися золотыми, серебряными нитями);хара
муар (шёлковая ткань с волнообразными цветовыми переливами);хара
расходы;харабат
затраты;харабат
балка;харак
давать характеристику;характеристика гун
характеризовать;характеристика гун
характеристика;характеристика
хасият;характеристика
мешок (местного производства;харал
большого размера);харал
чувал;харал
портить;харап авун
разрушать;харап авун
да разрушится!;харап хьуй!
портиться;харап хьун
разрушаться;харап хьун
испорченный;харап
разрушенный;харап
развалины старого села;куьгьне хуьруьн харапаяр
руина;харапа
развалина;харапа
кукуруза;харар
столяр;харат устар
плотник;харат устар
профессия плотника;харат устарвал
столяра;харат устарвал
столярничать;харат устарвал авун
плотничать;харат устарвал авун
сосновая доска;харатдин тахта
столярный;харатдин
столярные работы;харатдин квалахар
сосна;харат
тратить;харж авун
расходовать;харж авун
израсходоваться;харж хьун
истратиться;харж хьун
до сих пор находится на содержании родителей;къени аладрин харжунал алама
подушная подать;нефесдилай гудай харж
облагать налогом;харж вегьин
расход;харж
трата;харж
издержка;харж
серф;харж
подать;харж
дань;харж
налог;харж
похабный;харжаф
нецензурный;харжаф
порнографический;харжаф
деньги на карманные расходы;харжи пул
в прошлом месяце было много трат;алатай вацра гзаф харжияр хьана
расход;харжи
трата (о деньгах);харжи
требующий больших расходов;харжлу
затратный;харжлу
расходы;харжлух
расходовать;харжун
тратить;харжун
расходы;харжи-харабат
зарубежные страны;хариж уьлквеяр
зарубежье;хариж
зарубежный;хариж
гумно;харман
ток;харман
рат;харман
молотильник;харманчи
работать молотильником;харманчивал авун
работа молотильника;харманчивал
точило;харт
брусок (для точки косы);харт
хартия (исторический документ);хартия
изнеживать;хару авун
баловать;хару авун
изнеживаться;хару хьун
избаловываться;хару хьун
нежный;хару
избалованный;хару
кстах;хару
нежность;харувал
избалованность;харувал
кстахвал;харувал
нежно;харувилелди
баловливо;харувилелди
кстахвилелди;харувилелди
баловать;харуз хуьн
нежить (ребёнка);харуз хуьн
искусство;харусенят
вика;тамун харх
виковый;тамун хархдин
плевел;хархал
чина;хархар
мелкозернистый;хархар
крупитчатый (о масле);хархар
один из видов съедобных трав;хархунаг
смешать (что-л. с чем-л.);харчи авун
сквернословие;харчи гафар
смешанная мука;харчи гъуьр
сквернослов;харчи сив
смешаться;харчи хьун
позориться;харчи хьун
порочиться;харчи хьун
нечистая;харчи къуьл
полностью не очищенная пшеница;харчи къуьл
смешанная мука (пшеничная с ячменной, кукурузной и т. д.);харчи гъуьр
у него бывают неспристойные выходки;адай харчи амалар акъатзава
неочищенный;харчи
нечистый;харчи
смешанный;харчи
скверный;харчи
непристойный;харчи
высевки;харчияр
отруби;харчияр
собственное имя;хас твар
черты характера;дагъвийриз хас къилихдин лишанар
присущие горцам;дагъвийриз хас къилихдин лишанар
присущий;хас
свойственный;хас
иви (ивидик квай);хас
повреждать;хасарат авун
вредить;хасарат авун
пострадать;хасарат хьун
получить повреждение;хасарат хьун
повреждение;хасарат
травма;хасарат
увечье;хасарат
ущерб;хасарат
потеря;хасарат
убыток;хасарат
урон;хасарат
вредить;хасаратвал авун <гун>
портить;хасаратвал авун <гун>
получить повреждение;хасаратвал хьун
увечье;хасаратвал хьун
ущербный;хасаратлу
вредный;хасаратлу
заваллу;хасаратлу
зиянлу;хасаратлу
зарарлу;хасаратлу
вредность;хасаратлувал
пагубность;хасаратлувал
свойственность;хасвал
присущность;хасвал
характеризовать;хасият гун
давать характеристику;хасият гун
характер;хасият
редко характеристика;хасият
кадык;туьтуьнин хат
адамово яблоко;туьтуьнин хат
бусинка от сглаза (пришивалась к одежде);вилин хат
название детской игры;хтарин дулма
нанизал бусы на нитку;хтар гъалунихъ акална
бусина;хат
это безобидное (не представляющее опасность) животное;ам хата авай гьайван туш
подвергся опасности;хатадик акатна
избежал опасности;хатадикай хкатна
я ошибся;завай са хата хьана
я ошибся;гъил къачу
прости;завай са хата хьана
прости;гъил къачу
нет опасности;хата авач
ничего;хата авач
допускать ошибку;хата авун
ошибаться;хата авун
грешить;хата авун
ошибаться;хата акъатун
провиняться;хата акъатун
опасность;хата
риск;хата
хаталувал;хата
ошибка;хата
промах;хата
оплошность;хата
испускание кишечных газов;хата
цуф;хата
опасный;хата
рискованный;хата
тевекул;хата
хаталу;хата
беда;хата-бала
несчастье;хата-бала
допускать опасность;хатавал авун
опасность;хатавал
риск;хатавал
хаталувал;хатавал
случайно;хатадай хьиз
ненамеренно;хатадай хьиз
по ошибке;хатадай
по оплошности;хатадай
случайно;хатадай
невзначай;хатадай
нечаянно;хатадай
опасный человек;хатакар
коварный человек;хатакар
хаталуди;хатакар
опасность (человека);хатакарвал
становиться опасным;хаталу хьун
рискованным;хаталу хьун
опасное дело;хаталу квалах
он выбрал опасный путь;ада хаталу рехъ хкянава
опасный;хаталу
рискованный;хаталу
тевекул;хаталу
хата;хаталу
он не чувствует опасности;ада хаталувал гьиссзавач
опасность;хаталувал
риск;хаталувал
хатавал;хаталувал
опасно;хаталувилелди
рискованно;хаталувилелди
опасный человек;хаталуди
хатакар;хаталуди
последний;эхир хатам
самый последний;эхир хатам
делать безопасным;хатасуз авун
обезопасить;хатасуз авун
становиться безопасным;хатасуз хьун
обезопаситься;хатасуз хьун
безопасный;хатасуз
лишённый риска;хатасуз
саламат;хатасуз
не способный навредить (кому-чему-л.) безвредный;хатасуз
зарарсуз;хатасуз
зиянсуз;хатасуз
совет безопасности;хатасузвилин совет
международная безопасность;виридуьньядин хатасузвал
безопасность;хатасузвал
безопасно;хатасузвилелди
зарарсуздаказ;хатасузвилелди
зиянсуздаказ;хатасузвилелди
сорт винограда;хатми
сорт винограда;хатмияр
тутовое дерево;хатрутдин тар
тутовая древесина;хатрутдин карас
чунгуры делают из тутовой древесины;чуьнгуьрар хатрутдин карасдикай ийида
тутовый;хатрутдин
тутовая патока;хатрутдин мед
тут;хатрут
тупаз;хатрут
тут;хатрут
тут;хатруттар
тутовое дерево;хатруттар
царица;хатун
ханша;хатун
госпожа;хатун
хатун;хатун
оказывать уважение;хатур авун
уважать;хатур авун
делать одолжение;хатур авун
оказывать услугу;хатур авун
чувствовать обиду;хатур амукьун
обижаться;хатур амукьун
оскорбляться;хатур амукьун
обижать;хатур хун
огорчать;хатур хун
причинять обиду;хатур хун
уважать;хатур хуьн
не доставлять огорчения;хатур хуьн
обращаться с просьбой, просить (что-л. у кого-л.);хатурдал фин
проявлять уважение или нет - твое право;хатур авун-тавун ви ихтияр я
уважение;хатур
из уважения (к кому-л.);хатурдай
из внимания (к кому-л.);хатурдай
во имя;хатурдай
ради;хатурдай
уважительный;хатуржем
почтительный;хатуржем
вежливый;хатуржем
быть в хороших;хатурлу хьун
в приятельских отношениях;хатурлу хьун
уважительный;хатурлу
учтивый;хатурлу
приветливый;хатурлу
уважительность;хатурлувал
обходительность;хатурлувал
с уважением;хатурлувилелди
уважительно;хатурлувилелди
почтительно;хатурлувилелди
быть в плохих отношениях;хатурсуз хьун
относящийся к другим без учтивости;хатурсуз
непочтительный;хатурсуз
проявлять неуважение;хатурсузвал авун
неуважение;хатурсузвал
непочтение;хатурсузвал
неуважительно;хатурсузвилелди
непочтительно;хатурсузвилелди
в виде зёрен;хат-хат
крупчато;хат-хат
подравнивать ножницами (брови, бороду);хат кутун
красивый почерк;гуьрчег хат
мелкий почерк;куьлуь хат
в этом деле прослеживается стиль начальника;и кардай чехидан хат аквазва
почерк;хат
способ;хат
стиль;хат
франт;хаха
щёголь;хаха
франтовство;хахавал
щегольство;хахавал
раввин;хахам
кожаные сапоги;хахулар
грязь;хацнац
короста;хацнац
крестить;хаш чугун
креститься;хаш чугун
трефовый туз;хашарин тек
сильно зябнуть;хаш хъукъун
замерзать;хаш хъукъун
ознобить;хаш хъукъурун
обморозить;хаш хъукъурун
подвергнув действию холода;хаш хъукъурун
стержень карандаша;карандашдин хаш
грифель;карандашдин хаш
крест;хаш
трефы;хаш
паук;хаш
желе;хаш
холодец;хаш
студень;хаш
мижмиж;хаш
графит;хаш
передняя часть бoльшeбepцoвой кocти;хашав
скребница;хашав
наконечник ножен кинжала;хашав
ты мне не крестный отец;вун зи хашба туш
ты мне не крестный отец;ви чина акъваз тийиз
чтобы тебе не перечить;вун зи хашба туш
чтобы тебе не перечить;ви чина акъваз тийиз
крестный отец;хашба
каменный крест или камень;хашкъван
на котором изображён крест;хашкъван
тонкая плёнка (образующаяся на поверхности жидких веществ);хашлав
христианство;хашпара дин
христианин;хашпара
хашперес;хашпара
христиан;хашпара
христианский;хашпара
хашперес;хашпара
христиан;хашпара
христианство;хашпаравал
хашпересвал;хашпаравал
христианвал;хашпаравал
по-христиански;хашпаравилелди
как свойственно христианину;хашпаравилелди
как характерно для него;хашпаравилелди
христианин;хашперес
хашпара;хашперес
христианский;хашперес
хашпара;хашперес
христианство;хашпересвал
хашпаравал;хашпересвал
паутина;хашракандин муг
паучий;хашракандин
паук;хашракан
пастушья сумка;хашсикай
темезхан;хашсикай
букурма;хашсикай
мать;хая
бах;хая
диде;хая
йаъ;хая
родной сын;хайи хва
пасынок;тахай хва
(к мужскому полу) проклятый (<букв> да погибнет твой сын);хва кьей <кас>
приятель;хва текьей(ди)
дружок (<букв> избежавший смерти сына);хва текьей(ди)
голубок, голубчик (<букв> сын того, чей сын не погиб);хва текьейдан хва
у него три сына;адахъ пуд хва ава
скажи своему сыну;жуван хциз лагь
сын;хва
быть сыном (кому-л.);хвавал авун
заботиться как сын;хвавал авун
усыновлять;хвавиле кьабулун
обязанности сына;хвавал
радуга;хважамжам
слово-обращение к мужчине при разговоре;хвайди
тот;хулай экъечайда гьуьляй экъечайдаз чирзава
кто перешёл канавку;хулай экъечайда гьуьляй экъечайдаз чирзава
учит того;хулай экъечайда гьуьляй экъечайдаз чирзава
кто перешёл море;хулай экъечайда гьуьляй экъечайдаз чирзава
ленивый вол гадит в борозде;кагьул яцра цанин хула кьацурда
рыть канавку;хвал атун
платье со складками;хвалар авай булушка
делать паз в доске;тахтадай хвал атун
выемка на клинке кинжала;гапурдин хвал
корове пойло приготовлено;кализ хвал гьазурнава
выжимки винограда;ципицрин хвал
канавка;хвал
арык;хвал
борозда;хвал
складка;хвал
нарез;хвал
нарез;хвал
пойло;хвал
жом;хвал
поливальщик;хваларбан
осмотрщик оросительной системы;хваларбан
работать поливальщиком;хваларбанвал авун
занятие поливальщика;хваларбанвал
бороздить;хвал-хвал авун
кунак;хванахва
обычай куначества;хванахвавилин адет
куначество;хванахвавал
форма искусственного родства у горцев;хванахвавал
по-кунацки;хванахвавилелди
узколицый человек;хваран виляй аквадай хьтинди
кобылье молоко;хваран нек
кобыла;хвар
куча мусора;хвархвасрин кунт
мусор;хвархвасар
хваршинка;хварши руш
хваршинский язык;хварши чал
хваршинец;хварши
хваршинский;хварши
мы близкие родственники;чун хва-стхаяр я
близкий родственник;хва-стха
отец ел сливу;бубади хват неда - хци свах регъведа
а у сына на зубах оскомина;бубади хват неда - хци свах регъведа
